isogroup34951	A0QP18	GO:0016021; GO:0005886; GO:0071555; GO:0006869
isogroup40316	A0QP18	GO:0016021; GO:0005886; GO:0071555; GO:0006869
isogroup42522	A0QQ38	GO:0005737; GO:0005524
isogroup37772	A0QRG8	GO:0000030; GO:0009247; GO:0009405; GO:0046488; GO:0008654
isogroup39401	A0QSH4	GO:0008168
isogroup49288	A0QV09	GO:0016491
isogroup64772	A0QV09	GO:0016491
isogroup24618	A0QYL8	GO:0016021; GO:0005886; GO:0055085
isogroup26476	A0QYL8	GO:0016021; GO:0005886; GO:0055085
isogroup40709	A0R0B0	GO:0004739; GO:0006096
isogroup5064	A0R0B0	GO:0004739; GO:0006096
isogroup95583	A0R0B0	GO:0004739; GO:0006096
isogroup34839	A0R0W9	GO:0004555; GO:0042301; GO:0005993
isogroup1683	A0R566	GO:0004089; GO:0008270; GO:0015976
isogroup41438	A0R566	GO:0004089; GO:0008270; GO:0015976
isogroup40411	A0T0C6	GO:0009535; GO:0009523; GO:0009055; GO:0020037; GO:0005506; GO:0018063; GO:0019684; GO:0022904
isogroup42991	A0T0C6	GO:0009535; GO:0009523; GO:0009055; GO:0020037; GO:0005506; GO:0018063; GO:0019684; GO:0022904
isogroup49231	A0T0D1	GO:0009535; GO:0045261; GO:0005524; GO:0046933; GO:0015986
isogroup38648	A0T0L2	GO:0009535; GO:0009522; GO:0051539; GO:0009055; GO:0046872; GO:0009773
isogroup46742	A0T0L2	GO:0009535; GO:0009522; GO:0051539; GO:0009055; GO:0046872; GO:0009773
isogroup14352	A0T0P3	GO:0009535; GO:0045261; GO:0046933; GO:0015986
isogroup34984	A0T0T0	GO:0009535; GO:0016021; GO:0030096; GO:0016168; GO:0045156; GO:0005506; GO:0009772; GO:0018298
isogroup17977	A0T0T7	GO:0009535; GO:0016021; GO:0045158; GO:0045156; GO:0009767
isogroup30242	A0T0T7	GO:0009535; GO:0016021; GO:0045158; GO:0045156; GO:0009767
isogroup19093	A0T2M3	GO:0005509; GO:0042803
isogroup34431	A0T2M3	GO:0005509; GO:0042803
isogroup39482	A0T2M3	GO:0005509; GO:0042803
isogroup71186	A1A1I4	GO:0005737; GO:0051539; GO:0046872; GO:0070040; GO:0019843; GO:0002935; GO:0000049; GO:0070475
isogroup25411	A1A5D9	GO:0005737; GO:0017137; GO:0055107; GO:0047496
isogroup40159	A1A5G6	GO:0030659; GO:0016021; GO:0042470; GO:0005886; GO:0016471; GO:0000220; GO:0051117; GO:0046961; GO:0007035
isogroup50543	A1A5P2	GO:0000794; GO:0005783; GO:0001650; GO:0005730; GO:0030687; GO:0008097; GO:0000447; GO:0002244; GO:0007080; GO:1902570; GO:1901796; GO:0000027; GO:0042273; GO:0000055
isogroup43219	A1A5Q0	GO:0005884; GO:0097512; GO:0031430; GO:0030016; GO:0030017; GO:0005865; GO:0003779; GO:0005523; GO:0045010; GO:0006936; GO:0030239; GO:0051694; GO:0030838; GO:0045214
isogroup68051	A1A5S1	GO:0071013; GO:0016607; GO:0071005; GO:0046540; GO:0005682; GO:0050681; GO:0043021; GO:0003723; GO:0003713; GO:0000398; GO:0045944; GO:0006403; GO:0000244
isogroup26997	A1A6H3	GO:0009507; GO:0042644; GO:0009570; GO:0005634; GO:0042646; GO:0005524; GO:0046872; GO:0004747; GO:0046835; GO:0019303; GO:0009116
isogroup8248	A1A6H3	GO:0009507; GO:0042644; GO:0009570; GO:0005634; GO:0042646; GO:0005524; GO:0046872; GO:0004747; GO:0046835; GO:0019303; GO:0009116
isogroup26749	A1AK41	GO:0016021; GO:0005886; GO:0015297; GO:0015081; GO:0006885
isogroup9810	A1AT85	GO:0043531; GO:0005524; GO:0016776; GO:0004674; GO:0006470
isogroup36333	A1C5V3	GO:0005730; GO:0005524; GO:0003723; GO:0003724; GO:0006364
isogroup3272	A1CAQ1	GO:0046872; GO:0070006
isogroup44595	A1CC33	GO:0005576; GO:0030600; GO:0045493
isogroup42774	A1CCL9	GO:0005576; GO:0009044; GO:0045493
isogroup42858	A1CD74	GO:0030479; GO:0010008; GO:0005886; GO:0003779; GO:0005509; GO:0006897
isogroup47183	A1CFL8	GO:0050641; GO:0031177; GO:0008152
isogroup7526	A1CNV1	GO:0005739
isogroup48825	A1CRV0	GO:0005576; GO:0004338; GO:0046872; GO:0071555; GO:0000272
isogroup50762	A1CRV0	GO:0005576; GO:0004338; GO:0046872; GO:0071555; GO:0000272
isogroup26493	A1D731	GO:0005737
isogroup22258	A1D9Z6	GO:0005524; GO:0004386; GO:0046872; GO:0004525; GO:0003723; GO:0051607; GO:0050688; GO:0006396
isogroup50187	A1DHY9	GO:0031225; GO:0005886; GO:0052861; GO:0052862; GO:0030245
isogroup1634	A1E295	GO:0005615; GO:0005764; GO:0042470; GO:0004197; GO:0004175; GO:0051603; GO:0050790
isogroup19921	A1E295	GO:0005615; GO:0005764; GO:0042470; GO:0004197; GO:0004175; GO:0051603; GO:0050790
isogroup67810	A1IGV8	GO:0033953; GO:0005509; GO:0030246; GO:0007155; GO:0000272
isogroup68356	A1IGV8	GO:0033953; GO:0005509; GO:0030246; GO:0007155; GO:0000272
isogroup69188	A1IGV8	GO:0033953; GO:0005509; GO:0030246; GO:0007155; GO:0000272
isogroup53505	A1JHN0	GO:0031969; GO:0016021; GO:0010355; GO:0010356; GO:0010357; GO:0102661; GO:0016117; GO:0010236
isogroup42515	A1JHR5	GO:0005737; GO:0005524; GO:0016887; GO:0042626
isogroup43739	A1JHR5	GO:0005737; GO:0005524; GO:0016887; GO:0042626
isogroup23959	A1JJK8	GO:1902560; GO:0003920; GO:0046872; GO:0006163
isogroup55874	A1JRI8	GO:0005887; GO:0071916; GO:0015333; GO:0042937; GO:0015031
isogroup48250	A1JU33	GO:0005737; GO:0030798
isogroup86073	A1K1M2	GO:0005737; GO:0051499; GO:0106026; GO:0043908; GO:0000049; GO:0019478
isogroup13509	A1K5T6	GO:0005524; GO:0000287; GO:0016779
isogroup23988	A1K5T6	GO:0005524; GO:0000287; GO:0016779
isogroup67152	A1KRZ9	GO:0005886
isogroup35797	A1L0Y2	GO:0005814; GO:0061630
isogroup39716	A1L0Y2	GO:0005814; GO:0061630
isogroup53463	A1L0Y2	GO:0005814; GO:0061630
isogroup18756	A1L0Z6	GO:0001534; GO:0060271; GO:0060294
isogroup32900	A1L1M4	GO:0005737; GO:0005634; GO:0030289; GO:0019888; GO:0006470
isogroup15251	A1L1P9	GO:0016021; GO:0005886; GO:0015297; GO:0042910; GO:0006855
isogroup39866	A1L1P9	GO:0016021; GO:0005886; GO:0015297; GO:0042910; GO:0006855
isogroup39914	A1L1P9	GO:0016021; GO:0005886; GO:0015297; GO:0042910; GO:0006855
isogroup15026	A1L258	GO:0031234; GO:0005739; GO:0051990; GO:0004458; GO:0071949; GO:0019516; GO:0022904
