comp1527_c0_seq1	isogroup1527
comp1529_c0_seq2	isogroup1529
comp1536_c0_seq1	isogroup1536
comp1539_c0_seq1	isogroup1539
comp1542_c0_seq1	isogroup1542
comp1545_c0_seq1	isogroup1545
comp1549_c0_seq2	isogroup1549
comp1553_c0_seq1	isogroup1553
comp1554_c0_seq1	isogroup1554
comp1567_c0_seq1	isogroup1567
comp1568_c0_seq1	isogroup1568
comp1570_c0_seq1	isogroup1570
comp1571_c0_seq1	isogroup1571
comp1576_c0_seq1	isogroup1576
comp1580_c0_seq1	isogroup1580
comp1581_c0_seq2	isogroup1581
comp1583_c0_seq1	isogroup1583
comp1586_c0_seq1	isogroup1586
comp1590_c0_seq1	isogroup1590
comp1591_c0_seq1	isogroup1591
comp1601_c0_seq1	isogroup1601
comp1607_c0_seq1	isogroup1607
comp1609_c0_seq1	isogroup1609
comp1614_c0_seq2	isogroup1614
comp1616_c0_seq2	isogroup1616
comp1623_c0_seq1	isogroup1623
comp1624_c0_seq1	isogroup1624
comp1626_c0_seq2	isogroup1626
comp1629_c0_seq1	isogroup1629
comp1633_c0_seq1	isogroup1633
comp1634_c0_seq2	isogroup1634
comp1636_c0_seq1	isogroup1636
comp1637_c0_seq1	isogroup1637
comp1645_c0_seq1	isogroup1645
comp1646_c0_seq1	isogroup1646
comp1651_c0_seq1	isogroup1651
comp1652_c0_seq1	isogroup1652
comp1655_c0_seq1	isogroup1655
comp1656_c0_seq1	isogroup1656
comp1657_c0_seq1	isogroup1657
comp1658_c0_seq1	isogroup1658
comp1660_c0_seq1	isogroup1660
comp1661_c0_seq1	isogroup1661
comp1662_c0_seq1	isogroup1662
comp1669_c0_seq1	isogroup1669
comp1675_c0_seq1	isogroup1675
comp1680_c0_seq1	isogroup1680
comp1683_c0_seq1	isogroup1683
comp1684_c0_seq1	isogroup1684
comp1685_c0_seq1	isogroup1685
comp1687_c0_seq1	isogroup1687
comp1688_c0_seq1	isogroup1688
comp1690_c0_seq1	isogroup1690
comp1696_c0_seq1	isogroup1696
comp1702_c0_seq1	isogroup1702
comp1709_c0_seq1	isogroup1709
comp1711_c0_seq1	isogroup1711
comp1713_c0_seq1	isogroup1713
comp1718_c0_seq2	isogroup1718
comp1722_c0_seq1	isogroup1722
comp1723_c0_seq1	isogroup1723
comp1725_c0_seq1	isogroup1725
comp1728_c0_seq1	isogroup1728
comp1729_c0_seq1	isogroup1729
comp1730_c0_seq1	isogroup1730
comp1731_c0_seq1	isogroup1731
comp1733_c0_seq1	isogroup1733
comp1734_c0_seq1	isogroup1734
comp1738_c0_seq1	isogroup1738
comp1739_c0_seq1	isogroup1739
comp1740_c0_seq2	isogroup1740
comp1744_c0_seq1	isogroup1744
comp1745_c0_seq1	isogroup1745
comp1747_c0_seq1	isogroup1747
comp1750_c0_seq1	isogroup1750
comp1751_c0_seq1	isogroup1751
comp1755_c0_seq1	isogroup1755
comp1762_c0_seq1	isogroup1762
comp1765_c0_seq1	isogroup1765
comp1767_c0_seq1	isogroup1767
comp1768_c0_seq1	isogroup1768
comp1769_c0_seq1	isogroup1769
comp1771_c0_seq1	isogroup1771
comp1783_c0_seq1	isogroup1783
comp1785_c0_seq1	isogroup1785
comp1787_c0_seq1	isogroup1787
comp1796_c0_seq1	isogroup1796
comp1797_c0_seq1	isogroup1797
comp1801_c0_seq1	isogroup1801
comp1805_c0_seq1	isogroup1805
comp1807_c0_seq1	isogroup1807
comp1810_c0_seq1	isogroup1810
comp1815_c0_seq1	isogroup1815
comp1825_c0_seq1	isogroup1825
comp1826_c0_seq1	isogroup1826
comp1827_c0_seq1	isogroup1827
comp1831_c0_seq1	isogroup1831
comp1832_c0_seq2	isogroup1832
comp1844_c0_seq2	isogroup1844
comp1848_c0_seq1	isogroup1848
comp1851_c0_seq1	isogroup1851
comp1852_c0_seq1	isogroup1852
comp1854_c0_seq1	isogroup1854
comp1857_c0_seq1	isogroup1857
comp1861_c0_seq1	isogroup1861
comp1869_c0_seq1	isogroup1869
comp1881_c0_seq1	isogroup1881
comp1885_c0_seq2	isogroup1885
comp1886_c0_seq1	isogroup1886
comp1891_c0_seq2	isogroup1891
comp1897_c0_seq1	isogroup1897
comp1902_c0_seq1	isogroup1902
comp1904_c0_seq1	isogroup1904
comp1913_c0_seq1	isogroup1913
comp1914_c0_seq2	isogroup1914
comp1916_c0_seq1	isogroup1916
comp1917_c0_seq1	isogroup1917
comp1919_c0_seq1	isogroup1919
comp1922_c0_seq1	isogroup1922
comp1925_c0_seq1	isogroup1925
comp1931_c0_seq1	isogroup1931
comp1933_c0_seq1	isogroup1933
comp1935_c0_seq1	isogroup1935
comp1940_c0_seq1	isogroup1940
comp1941_c0_seq1	isogroup1941
comp1947_c0_seq1	isogroup1947
comp1949_c0_seq1	isogroup1949
comp1950_c0_seq1	isogroup1950
comp1953_c0_seq1	isogroup1953
comp1954_c0_seq1	isogroup1954
comp1957_c0_seq1	isogroup1957
comp1960_c0_seq1	isogroup1960
comp1962_c0_seq2	isogroup1962
comp1963_c0_seq1	isogroup1963
comp1973_c0_seq1	isogroup1973
comp1979_c0_seq2	isogroup1979
comp1984_c0_seq1	isogroup1984
comp1989_c0_seq1	isogroup1989
comp1992_c0_seq1	isogroup1992
comp1993_c0_seq1	isogroup1993
comp1995_c0_seq1	isogroup1995
comp1996_c0_seq1	isogroup1996
comp2000_c0_seq1	isogroup2000
comp2001_c0_seq1	isogroup2001
comp2010_c0_seq1	isogroup2010
comp2014_c0_seq1	isogroup2014
comp2015_c0_seq1	isogroup2015
comp2020_c0_seq1	isogroup2020
